title_norm,label_1,level_2
معاون اداره کارگزینی و رفاه,1,12
رئیس اداره نظارت تعاونیها,1,12
رئیس گروه مدارک فنی و تولیدی,1,13
سرپرست اداره تاسیسات انرژی,1,13
رییس اداره لجستیک پرس بدنه تیبا و,1,13
سرپرست تعمیرات شیفت,1,13
سرپرست تولید شیشه,1,13
مدیر راه اندازی,1,13
رئیس اداره رسیدگی و ممیزی اسناد,1,12
رئیس سازماندهی سیستمها و روشها,1,12
رییس دبیرخانه هیات مرکزی گزینش,1,12
سرپرست حساب,1,12
مسئول اداری عملیات,1,12
رئیس تعمیرات قالب پلاستیکی,1,13
مسئول امورفرودگاه,1,13
رئیس توسعه سیستمهای اطلاعاتی,1,12
سرپرست تولید تزئینات,1,13
سرپرست تولید تزیینات,1,13
مدیرکارخانه گازدی اکسیدکربن,1,13
معاون رفاهی مدیرکل اداری و منابع انسانی,1,12
رئیس امور اسنادی,1,12
سرپرست ارشدخمیرسازی روزکار,1,13
مدیرکل دفترمدیرعامل,1,11
ناظر و سوپروایزر صندوق دارها,1,14
معاون ومسئول دفاتراملاک وثبت شرکتها,1,12
اداره سیر و حرکت اداره کل راه اهن اراک رئیس ایستگاه شازند,1,13
سرپرست پروژه های سیویل و سازه,1,13
سرپرست پشتیبانی و رفاه,1,12
سرپرست گروه مهندسی فرآیند ناحیه یک,1,13
معاون سرمایه انسانی و پشتیبانی,1,12
معاون دایره درجه1,1,12
سرپرست انبارمواد,1,12
سرپرست برق ونیروگاه,1,13
رئیس اداره روابط عمومی و امور فرهنگی و اجتماعی,1,12
رئیس اداره سیستم های رایانه ای,1,12
سرپرست ساخت قرص,1,13
مدیر نگهداری و پشتیبانی ارتباطات سیار,1,13
کارشناس مسئول فروش مستقیم,1,12
کارشناس مسئول فروش سازمانی و شرکت ها,1,12
مسئول شیفت مکانیک نت گندله سازی,1,13
معاون آموزشی مجتمع,1,13
کارشناس مسئول مالی و دفترداری,1,12
مسئول سیستم تولید و پشتیبانی تولید,1,13
کارشناس مسئول شیفت بازرسی و کنترل کیفیت محصول,1,13
رئیس اداره کیفیت اینتریور,1,13
رئیس گروه کارشناسان امار,1,12
سرپرست تولید سریسکاری,1,13
مدیر خدمات فنی و انرژی,1,13
مدیر سیستم حمل و نقل ریلی,1,13
مدیرارشد منابع انسانی,1,12
مدیرامور مونتاژ,1,13
سرپرست ارشد لمینت,1,13
سرپرست فنی تعمیرات رنگرزی,1,13
سرپرست قسمت تهیه کرم وشامپوودستگاه اسیاب,1,13
مدیرکنترل و نظارت پروژه های اجرائی,1,13
سرپرست اداره برنامه ریزی استراتژیک و تحلیل اطلاعات مدیریت,1,12
سرپرست اداره پروژه های اجرایی,1,13
سوپروایزر برش چرمی,1,13
مدیر تولید معدن روباز,1,13
مدیر دفتر مطالعات نیروگاههای حوزه های کرخه مارون و زهره,1,13
مدیر روابط عمومی وخدمات پشتیبانی,1,12
رئیس اداره امور ایثارگران کارشناس,1,12
سرپرست مدیریت آزمایشگاههای کنترل کیفیت,1,13
رییس دفتر ریاست وروابط عمومی,1,12
رییس ریخته گری,1,13
سرپرست جوشکار لوله کش آهنگر,1,13
رئیس اداره ارزیابی عملکرد مرکز نظارت ارزیابی و تضمین کیفیت,1,12
رئیس گروه حسابسی مالیاتی,1,12
سرپرست مدیریت تامین ماشین آلات قطعات فلزی و ملزومات تولیدی,1,13
معاون دایره درجه یک د,1,12
معاون محیط زیست و خدمات شهری,1,13
رئیس مواد اولیه,1,13
رئیس برنامه ریزی و توزیع منابع کشاورزی,1,13
سرپرست بتون سازی,1,13
کارشناس مسئول شیفت کارگاه مکانیکی,1,13
مدیر پیش دبستانی,1,13
رییس اداره ابزار دقیق,1,13
رییس اداره ممیزی اسنادوکنترل مالی,1,12
رییس اداره کنترل اعتبارات و قراردادها و ممیزی اسناد,1,12
سرکارگر آهنگری,1,13
متصدی شیفت ریسندگی,1,13
سرکارگرجیکس,1,13
سرپرست تدارکات داخلی,1,12
سرپرست hse پروژه بردسیر,1,13
سرپرست ابزاردقیق خمیرسازیهاوماشینهای کاغذ,1,13
سرپرست اداره امور حقوقی,1,12
سرپرست اداره حقوقی و دعاوی,1,12
سرپرست تعمیرات صنعتی و ماشین ابزار,1,13
مدیر معاون مدیرکل استان,1,11
مسئول نوبتکاری بهره برداری بوتادین,1,13
رئیس اداره طراحی سیستمهای تبادل گاز سوخت و احتراق,1,13
معاون ا,1,12.0
رئیس شعبه ممتاز الف رتبه دو,1,12.0
رییس بازاریابی مطالعه وتحلیل بازار,1,12.0
رییس بهبود روشها و تحلیل فرایندها,1,12.0
رییس تعمیرات مکانیک,1,13.0
رییس ذوب و b.m.d,1,13.0
معاونت مالی و پشتیبانی,1,12.0
رییس اموال و انبارها,1,12.0
کارشناس ارشد م حوزه وزیر,1,11.0
رئیس اداره اموزش و ارزشیابی,1,13.0
سرپرست مدیریت نگهداری و تعمیرات pm,1,13.0
سرشیفت واحدپالایش,1,13.0
رئیس اداره نظارت و بررسی های فنی,1,13.0
رئیس توسعه و تحقیقات بازار,1,12.0
معاون قالبسازی,1,13.0
رئیس اداره برنامه ریزی عملیاتی,1,12.0
رئیس نگهداری و تعمیرات جرثقیل ها,1,13.0
سرپرست تراش کاری فلزات,1,13.0
شیفت فورمن تعمیرات برق و ابزاردقیق ناحیه انرژی و سیالات,1,13.0
مسئول نمایندگی,1,12.0
رئیس اداره درجه 1 رتبه ممتاز,1,12.0
سرپرست خدمات پشتیبانی و آمار اطلاعات,1,12.0
مدیر کل مطالعات و مقررات ارزی بانک مرکزی,1,11.0
مدیر کیفیت فروش و خدمات پس از فروش گروه خودروسازی,1,12.0
واحد ستاره دار مرکز توسعه اموزش و فناوری مسئول کارگاه سیروحرکت,1,13.0
معاون مدیرکل پشتیبانی و راه اندازی شبکه,1,13.0
معاون وزیرورئیس سازم,1,11.0
رئیس مرکز اجرای پروژه های تعمیراتی و اصلاحی,1,13.0
سرپرست واحد رنگ آمیزی,1,13.0
مسئول بخش کنترل تولید و تغذیه خطوط رودری داشبورد تندر و ایساکو,1,13.0
رئیس اموال و انبارها,1,
رئیس بازاریابی مطالعه وتحلیل بازار,1,
مدیرکل راهبرد شبکه و فناوری اطلاعات,1,13.0
مدیریت ساخت,1,13.0
رئیس بهبود روشها و تحلیل فرایندها,1,
مسئول امورپرسنلی,1,12.0
رئیس زیرساخت فن آوری اطلاعات,1,13.0
رئیس شعبه درجه یک الف,1,12.0
رییس تولید اجزا و مجموعه سازی,1,13.0
رییس دبیرستان,1,13.0
رئیس حوزه یک ج,1,12.0
رئیس دایره پیگیری امور ساختمانی,1,13.0
رییس اداره بهداشت و درمان,1,13.0
رییس اداره مهندسی فرآیندهای مونتاژ,1,13.0
اداره ارتباطات وعلائم الکتریکی اداره کل راه اهن شمال معاون اداره,1,13.0
رئیس ارزیابی عملکرد،توسعه بهره وری,1,12.0
سرپرست اداره ورزش آقایان,1,13.0
رئیس تولید اجزا و مجموعه سازی,1,13.0
مدیر امور سهام,1,12.0
معاون در امور مطالعات و برنامه ریزی نیروی انسانی معاون مدیرکل م,1,12.0
معاون سرمایه های انسانی و سازماندهی,1,12.0
رئیس اداره بهره برداری رایانه,1,13.0
رئیس اداره مدیریت عملکرد و استعدادها,1,12.0
مدیر امور ماهیگیری ساحلی,1,13.0
سرپرست تعمیرات مکانیک سر سیلندر,1,13.0
سرپرست خریدتجهیزات برق واتوماسیون,1,12.0
معاون مدیریت خدمات اموزشی,1,13.0
رئیس مسئولیت های اجتماعی,1,12.0
سرپرست تولید کوره ها,1,13.0
سرپرست تولیدوفنی,1,13.0
سرپرست کارگاه مکانیک,1,13.0
رئیس امور اداری و خدمات,1,12.0
سرپرست ارشد تکمیل اتصالات ریخته گری,1,13.0
سرپرست ارشدپخت,1,13.0
سرپرست امورعمومی بهره برداری,1,13.0
سرپرست بازرس وکنترل,1,13.0
مدیرعامل و نائب رییس هیئت مدیره,1,11.0
مدیریت حمل ونقل,1,13.0
عضو هیئت مدیره شرکت قالبهای بزرگ صنعتی,1,11.0
کارشناس مسئول طرح ها و برنامه ها,1,12.0
معاون اداره شیفت شیمی,1,13.0
کارشناس مسئول حفاظت,1,12.0
رئیس خوابگاه دختران,1,14.0
مسئول حراست منطقه,1,12.0
مسئول کارگاه تعمیرات برق و تهویه,1,13.0
معاون تعمیرات کامپوننت,1,13.0
مسئول تیم عملیاتی الکترونیک,1,13.0
معاون اموزش متوسطه نظ,1,13.0
مسئول کارگاه نقاشی,1,13.0
رئیس اداره آموزش و ترویج وتحقیقات,1,13.0
مسئول سا ز ما ندهی و پا یش واحد های عملیا تی,1,13.0
مدیر رفاه و خدمات,1,14.0
معاون فنی و عمرانی شهردار,1,11.0
معاون سرپرست فنی بافندگی,1,13.0
مدیر امور تعمیرات ابزار دقیق نیروگاه سیکل ترکیبی,1,13.0
معاون فنی جهاد کشاورزی شهرستان گیلانغرب,1,11.0
سرپرست انبارها بخش برنامه ریزی تولید و کنترل,1,12.0
سرپرست برق ریخته گری,1,13.0
کارشناس مسئول اداری و مالی,1,12.0
سرپرست بسته بندی,1,13.0
مدیر مهندسی و برنامه ریزی فنی,1,13.0
رئیس حوزه,1,12.0
رئیس خریدکاربری,1,12.0
سرپرست تعمیرات خودروهای صنعتی,1,13.0
مدیر عرضه خدمات اینترنت,1,13.0
مدیر فروش تولیدات جانبی,1,12.0
معاون امور شهری,1,11.0
معاون تامین,1,12.0
ذیحساب و مدیرکل امور مالی شرکت سهامی راه,1,12.0
رئیس اداره اعتبارات و تعهدات و درآمدها,1,12.0
سرپرست رنگسازی تکمیل و رنگرزی,1,13
عضوکمیسیون معاملات,1,12
رییس اداره تربیت بدنی استان یا شهرستان,1,13
معاون مدیرکل فنی,1,13
معاون هماهنگی امور رفاهی زائرین,1,14
مدیر تعمیرات و نگهداری برق و الکترونیک,1,13
مدیر امور,1,12
مدیر ارشد تعمیرات فنی,1,13
معاون دایره درجه 1,1,12
مدیر امور بازرگانی و پشتیبانی,1,12
اداره کل راه اهن شمال مدیر کل,1,11
رئیس اداره بهره برداری شیفت بخار,1,13
رئیس نمایندگی شرکت ارتباطات زیرساخت استان هرمزگان,1,13
رئیس نگهداری و تعمیرات ماشینکاری,1,13
رئیس کشاورزی یکم,1,13
معاون دایره پشتیبانی ارزی,1,12
رئیس آزمایشگاه کنترل کیفیت ریسندگی,1,13
سرکارگرماسوره پاک کن,1,13
سرکارگرورقکاری,1,13
سرپرست تجزیه و تحلیل طراحی و پیاده سازی سیستم های فروش و خدمات پس از فروش,1,12
مسئول ساختمانهای حفاظتی,1,13
معاون مدیرکل حقوقی,1,12
سرپرست گروه بازرسی فنی,1,13
قائم مقام امور مالی,1,12
رییس اداره طرح ومهندسی نیروسیستمهای انتقال,1,13
رئیس اداره هواشناسی سینوپتیک،جو بالا و فرودگاهی,1,13
مسئول واحد جانبی,1,13
مسئول نیرو خطوط,1,13
مسئول پروژه خاص,1,13
معاون ذیحساب اداره کل راه و شهرسازی استا,1,12
رئیس اداره برنامه ریزی ساخت داخل,1,13
رئیس اداره فروش وخدمات مشترکین مرکز,1,12
سرکارگرخمکاری کارگاه خمکاری,1,13
سرپرست تکمیل وخارزنی,1,13
مدیر خدمات اسکان,1,14
معاون اموربازرگانی,1,12
کمک سرپرست رنگ,1,13
کمک سرپرست مونتاژشبکه,1,13
رئیس کیفیت خراسان,1,13
سرپرست مونتاژ ماهیچه,1,13
سرپرست شیفت تابندگی,1,13
سرشیفت اکسترودریاپلاستیک,1,13
سرشیفت تعمیرات برق ftp,1,13
معاون واحد اموزش,1,13
معاون مدیرکل استان,1,11
معاون پشتیبانی ومنابع ان,1,12
رئیس اداره محاسبات اسناد,1,12
رئیس گروه مطالعات و تدوین مقررات ایمنی,1,13
رئیس تعمیرگاه مرکزی سبا,1,13
سوپروایزر شیفت متریال,1,13
رییس تدارکات پروژه,1,12
سرپرست تعمیرات مرکزی,1,13
مدیر دفتر بهداشت و ایمنی و محیط زیست,1,13
مدیر شعب منطقه درجه یک,1,12
فرمن سه تهیه کرم پودر,1,13
کارشناس مسئول صنوف تولیدی توزیعی وخدماتی,1,12
معاون اداره خدمات وپشتیبانی,1,12
رئیس الکترونیک,1,13
سرپرست برشکاری,1,13
سرپرست تراشکاری,1,13
مدیر امور کارکنان وبرنامه ریزی نیروی انسانی,1,12
مدیر بازرسی و کنترل کیفیت محصول,1,13
مسئول نگهداری تعمیرات وتخریب,1,13
مسئول سیستم فروش بازاریابی و صادرات,1,12
معاون ومسئول اموزش کارشناس کارشناس عالی,1,13
رئیس بخش نت انرژی و سیالات,1,13
رییس کل پلیس راهور,1,11
مدیراکتشافات,1,13
مدیرمالی و بازرگانی توسعه,1,12
مدیر مدیریت حوزه ریاست,1,12
هیئت مدیره,1,11
سرپرست طرح و توسعه,1,13
فرمن دوشیشه شربت پرکنی خط,1,13
سرکارگر رنگ رویه,1,13
مسئول امور اداری ومالی پشتیبانی,1,12
سرپرست تاسیسات حرارتی وبرودتی تاسیسات ضروری,1,13
مدیر مهندسی فروش و خدمات پس از فروش,1,12
فرمن کارگاه قالبگیردستی,1,13
معاون منابع انسانی واموراجتماعی,1,12
معاون شعبه درجه 1 ب,1,12
رئیس برآوردوبرنامه ریزی مواد,1,13
رییس پلیس آگاهی,1,11
سرپرست شیفت تولیدویال,1,13
مدیرنگهداری وتعمیرات خودکشش ها,1,13
رئیس اداره طرح ومهندسی نیروسیستمهای انتقال,1,13
معاون اداری ومالی جهادکشاورزی شهرستان بروجرد,1,12
رئیس گروه نظارت بر اجرای استراتژی,1,12
سرپرست آبسازی فراورده های تزریقی حجیم,1,13
سرپرست اداره برنامه ریزی و بهبود فرآیندهای مالی و اقتصادی,1,12
مدیر طرح ها,1,13
رئیس اداره خدمات اموزشی دانشکده علوم اقتصادی واجتماعی,1,13
رییس برنامه ریزی و تعمیرات,1,13
رییس مالی و اداری,1,12
رئیس حراست کتابخانه موزه و مرکز اسناد,1,13
اداره امور ناوگان اداره کل راه اهن جنوب مسئول دپو بندرامام,1,13
اداره امور ناوگان اداره کل راه اهن قم معاون اداره در امور واگن ها,1,13
دستیار مدیر تعمیرات و نگهداری,1,13
رئیس مالی و اداری,1,12
قائم مقام ناحیه و معاونت عملیات,1,13
ذیحساب سازمان صنعت معدن وتجارت فارس,1,12
سرشیفت تعمیرات جاری برق و فشار قوی و روشنائی,1,13
قایم مقام امور مالی,1,12
معاون فرماندار با نام,1,11
معاون سازمان کشوری,1,11
مدیر اعتبارات,1,12
رئیس اداره تربیت بدنی استان یا شهرستان,1,13
سرپرست بهداری و امور بیمه,1,13
مدیر امور اموزشی و فرهنگی,1,13
مدیر پشتیبانی عملیات فروش,1,12
مسئول شیفت تولید نایلون,1,13
سرپرست برنامه ریزی و پشتیبانی فروش,1,12
سرکارگر تولید,1,13
مدیر آموزش و ترویج,1,13
رئیس اداره مهندسی کیفیت قوای محرکه وسیستمهای مکانیکی,1,13
واحد ستاره دار عملیاتی اداره کل واگنهای باری معاون اداره در امور,1,13
معاون مدیرکل جذب و حمایت از سرمایه گذاری,1,12
سرپرست نوبتکارحمل ونقل داخلی,1,13
سرپرست کامپیوتر مالی,1,12
سرپرست کنترل کیفیت تکمیل,1,13
سرخط کنترل کیفیت و بسته بندی,1,13
سرپرست دفتر توسعه مدیریت و تحقیقات,1,12
گروه امور حقوقی رئیس گروه امور حقوقی,1,12
رییس اداره بازاریابی سازمانی,1,12
رییس اداره حفاظت اسنادی و تعیین صلاحیت,1,12
سرپرست طراحی سازه و بنا,1,13
عضو هییت مدیره شرکت ستاره سفیران,1,11
مدیر ازمایشگاه مرکزی وپژ,1,13
معاون دفتر امور سیاسی انتخابات و تقسیمات کشوری,1,11
معاون حفاظت اسناد و فناوری اطلاعات,1,12
معاون سیاسی وزیر امورخارجه,1,11
مسوول خدمات ورزشی و رفاه,1,14
رئیس اداره تبلیغات و انتشارات,1,12
رئیس اداره حسابداری اداره حسابداری,1,12
رئیس کتابخانه مرکز اسناد و مدارک علمی و,1,13
رئیس برنامه ریزی و کنترل تولید,1,13
مدیر اجرایی طرح توسعه,1,13
رئیس کارگاههای تولیدی خانگی,1,13
مدیر امور انتقال نیروی استان اردبیل,1,13
کارشناس مسئول برنامه بودجه و آموزش,1,12
رئیس اداره مونتاژ گیربکس,1,13
رئیس اداره نصب و راه اندازی سیستمهای انتقال,1,13
رئیس اداره نگهداری و تعمیرات ابزار دقیق توربین,1,13
رئیس اداره نگهداری و تعمیرات فید پمپها,1,13
رییس ایمنی ومحیط زیست,1,13
سرپرست تولیدپلاستیک,1,13
کارشناس مسئول حسابداری صنعتی و مدیریت,1,12
مسئول وسرپرست,1,13
مسئول بهره برداری,1,13
رئیس اداره خدمات اموزشی و دانشجویی کارشناس,1,13
رئیس اداره طراحی،تحلیل و توسعه,1,13
سرپرست انبارمواداولیه وکارتن,1,13
سرپرست برنامه ریزی تعمیرات هواپیما,1,13
مدیریت داخلی,1,12
فرمن شیشه گذاری قسمت پرکنی سوسپانسیون انتی بیوت,1,13
نوبتکار ارشد عملیات انبارهای محصول,1,13
رئیس اداره تعمیرات ماشین های مکانیکی,1,13
رئیس اداره تلفیق و تطبیق حسابها,1,12
مسئول خط نورد فویل,1,13
سرپرست اجرای پایپینگ,1,13
سرپرست تولید گاز,1,13
سرپرست حسابداری اموال,1,12
استادکار و سرپرست مکانیک,1,13
رییس دفترحقوقی شرکتهای مارگارین وبهشهر,1,12
سرپرست خطتولیدکاغذماشینهای کاغذ,1,13
رییس اداره مونتاژ گیربکس,1,13
رییس اداره نصب و راه اندازی سیستمهای انتقال,1,13
معاون بازرسی ارزیابی عملکردوپاسخگویی به شکایات,1,12
معاون املاک و مستغلات,1,12
معاون تجهیزات واموزش معاون مدیرکل,1,12
سرپرست معاونت پشتیبانی و خدمات اجتماعی,1,12
مسوول خدمات تولید,1,13
معاون مدیرتشکیلات واموزش وبودجه برنامه ای,1,12
رییس فروش مویرگی,1,12
مدیرکل امور مجلس و دولت,1,11
رییس حوزه,1,11
رییس خریدکاربری,1,12
سرپرست تولید الکل,1,13
سرپرست جمع آوری و کنترل,1,13
سرپرست پرکنی و بسته بندی نیمه جامدات,1,13
معاون مدیر کل فروش,1,12
اداره سیر و حرکت اداره کل راه اهن شمالغربرئیس ایستگاه مراغه,1,13
سرپرست مکانیک خط,1,13
سرپرست نت قالب,1,13
سرپرست نگهداری و تعمیرات ساختمانی,1,13
سرشیفت تولید واحد,1,13
مسئول امور رستورانها,1,14
رئیس اداره بازاریابی سازمانی,1,12
رئیس فضای سبز,1,13
رییس دفتر برنامه ریزی و کنترل نگهداری و تعمیرات احیاء مستقیم,1,13
رییس تولید cfl,1,13
سرپرست کنترل کیفیت قطعات مونتاژی,1,13
جانشین معاونت تولید,1,13
سرپرست برنامه ریزی و کنترل تولید تعمیرات کامپوننت,1,13
سرپرست نت الکتروموتور,1,13
متصدی تعمیرگاه مرکزی,1,13
مدیرکل امورحقوقی,1,11
معاونت فنی وبهره برداری,1,13
رئیس تعمیرات الکترونیک وسی ان سی,1,13
رئیس فروش مویرگی,1,12
سرپرست دیگهای بخار و یخسازی,1,13
ذیحساب و مدیر امور مالی سازمان ملی بهرهوری ایران,1,12.0
رئیس گروه بررسیهای اقتصادی,1,12.0
رئیس گروه بهداشت و درمان,1,13.0
معاون مدیر کنترل کیفیت,1,13.0
همطرا زرییس دا یره درجه3,1,12.0
رئیس اداره منابع طبیعی وابخیزداری شهرستان امیدیه,1,13.0
رییس اداره بیمه خدمات درمانی,1,12.0
رییس اداره لجستیک رنگ و مونتاژ تیبا و x100,1,13.0
سرپرست تولید بطری,1,13.0
سرپرست تولید نیمه جامدات,1,13.0
مدیر دبیرستان غیر انتفاعی,1,13.0
مدیر مؤسسه کشاورزی,1,13.0
مسئول کنترل وپا یش بر نا مه های راهبردی,1,12.0
رئیس اداره امور بازنشستگی کارشناس,1,12.0
مدیر امور اداری مالی منطقه,1,12.0
رئیس پشتیبانی و فنی مشتریانed,1,12.0
سرشیفت سنگ شکن اول,1,13.0
رئیس اداره رنگ رویه شیفت سوم,1,13.0
سرپرست تضمین کیفیت,1,13.0
سرگروه قسمت آمار و اطلاعات,1,12.0
رئیس اداره بیمه خدمات درمانی,1,
مدیربازاریابی و پیشبرد فروش محصولات شرکای تجاری,1,12.0
مدیرخدمات اجتماعی,1,13.0
سرپرست بخش تولید کارتن,1,13.0
سرپرست برنامه ریزی و پشتیبانی خدمات عمومی,1,12.0
مدیر موسسه کشاورزی,1,13.0
معاون اداره تعمیرات الکتریک فشارضعیف,1,13.0
رئیس اداره امور اراضی کارشناس,1,13.0
سرپرست انبار قطعات یدکی و متفرقه,1,12.0
مدیر تاسیسات,1,13.0
مسئول درجه کارگاه سنگین,1,13.0
رئیس اداره پشتیبانی کنترل و نگهداری کالا و اموال,1,12.0
سرپرست آزمایشگاه کنترل کیفیت نوبتکار,1,13.0
رییس تامین و تدارکات,1,12.0
سرپرست خدمات اداری ومالی,1,12.0
مدیر راهبری ماشین آلات,1,13.0
رئیس شعبه درجه 4 رتبه یک,1,12.0
رییس تدارکات داخلی منابع یابی و پروژه,1,12.0
رییس خدمات فنی مشتریان رنگهای پایه آب,1,12.0
رییس خط تولید,1,13.0
گروه بازرگانی وبازاریابی اداره کل راه اهن اذربایجانمسئول حمل و نق,1,12.0
رئیس تضمین کیفیت وتعالی,1,13.0
رییس اداره امور مالی واموال,1,12.0
رییس اداره رضایت مشتری و گارانتی,1,12.0
بخشدار مرکزی سبزوار,1,11.0
عضو هیئت مدیره شرکتهای درجه شش,1,11.0
فرماندار رضوانشهر,1,11.0
معاون پذیرش وثبت نام,1,12.0
معاون مدیرکل دفتر امور مجلس,1,11.0
رییس خرید مواد مصرفی و فروش کالاهای مازاد,1,12.0
سرپرست کارگاه برق صنعتی,1,13.0
رییس اداره برنامه ریزی ساخت داخل,1,13.0
معاون اموزش وپرورش عمومی,1,11.0
معاون امورفرهنگی اجتماعی بازنشستگان,1,12.0
رئیس اداره امور عمومی دانشکده,1,12.0
رئیس اداره امور مالی و اموال,1,12.0
سردبیر نشریه,1,12.0
سرپرست مدیریت خدمات عمومی,1,12.0
سرپرست مدیریت پرس و قالب ابزار,1,13.0
سرپرست مواد اولیه سطح 2,1,13.0
مدیرکارخانه,1,13.0
معاون کارگاه تولید اند,1,13.0
مدیرکل دفتر فنی امور عمرانی و حمل و نقل و ترافیک,1,11.0
رئیس محیط زیست و فیلتراسیون,1,13.0
رییس کل پلیس آگاهی,1,11.0
سرپرست نوبتکاری تلمبه خانه,1,13.0
سرپرست پشتیبانی تعمیرات مکانیک نواحی,1,13.0
فورمن تعمیرات مکانیک خط اسید شویی,1,13.0
رییس گروه نظارت بر اجرای استراتژی,1,12.0
رییس پشتیبانی و فنی مشتریانed,1,
رییس گروه کارشناس,1,12.0
سرپرست پشتیبانی داربست تعمیرات نواحی,1,13.0
رئیس ایمنی ومحیط زیست,1,13.0
رییس کارگاههای تولیدی خانگی,1,13.0
رئیس حسابرسی مالی و حاکمیت شرکتی,1,12.0
رییس اداره اموزشهای مدیریتی,1,12.0
سرپرست سفیدگری و رنگرزی ژیگو,1,13.0
سرپرست اداره تولید شکر قهوه ای,1,13.0
رییس امور پیمانکاران کشاورزی,1,13.0
سرپرست حرارت مرکزی,1,13.0
مدیر شعب استان مازندران,1,12.0
مدیر مطالعات و مقررات بانکی بانک مرکزی,1,12.0
مدیرعامل بانک,1,11.0
جانشین سرپرست شیفت ورق,1,13.0
جانشین مدیر تدارکات,1,12.0
رئیس بهره برداری سنگ شکن و حمل مواد,1,13.0
رییس توسعه سیستمهای اطلاعاتی,1,12.0
مدیرعامل شرکت ساختمانی,1,11.0
معاون مدیر شعب,1,12.0
اداره سیر و حرکت اداره کل راه اهن اذربایجان رئیس اداره سیر و حرکت,1,12.0
سرپرست نگهداری و پشتیبانی نرم افزار,1,13.0
فورمن تعمیرات موتور وگیربکس,1,13.0
معاون دبستان دانش اموزان,1,13.0
مسیول امورمالی,1,12.0
مسئول واحدهای عملیاتی پایانه صادراتی,1,13.0
سرپرست سالن ریخته گری,1,13.0
مدیر مهندسی تولید و فرآیند اینتریور و صندلی سازی و ال,1,13.0
مدیرعامل موسسه فرهنگی,1,11.0
رئیس اداره اموردانش اموختگان,1,12.0
رئیس اداره دبیرخانه مرکزی,1,12.0
رئیس اداره فنی و امور عمرانی علی زارعی,1,13
سرپرست تعمیر و نوسازی کوره و ساختمان,1,13
سرپرست تعمیرات هیدرولیک نیوماتیک و پمپ ها,1,13
مسئول نقلیه سنگین,1,13
مسئول پخت صابون,1,13
سرگروه شیفت تعمیرات برق,1,13
معاون امور سیاسی،فرهنگی و اجتماعی بازرسی ویژه دفتر رییس جمهور,1,11
