title_norm,label_1,isco_sub_major_group
سیم بند درجه 1,7,71
سیم بند مشاغل سخت,7,71
سیم بندوتحویل دهنده,7,71
سیم بندوتحویل دهنده خطتولید,7,72
سیم بکسل انداز برج,7,72
سیم بکسل باف,7,72
سیم بکسل باف مرتبه,7,72
سیم بکسل بند,7,72
سیم بکسل کار تعمیرگاه مرکزی,7,72
سیم تاب,7,72
سیم خاردار,7,72
سیم خاردارگالوانیزه مفتول کشی توری شش گوش شبکه,7,72
سیم خم کن,7,72
سیم رسان,7,74
سیم ریز قسمت طراحی بافندگی,7,75
سیم سازدرجه سیم سازی,7,72
سیم صاف کن نیم حلقه,7,72
سیم نازک کن,7,72
سیم نازک کن درجه 3,7,72
سیم واکن,7,74
سیم پنچ,7,72
سیم پیچ ارشد تکفاز,7,74
سیم پیچ الکترو موتورهای صنعتی فشارقوی,7,74
سیم پیچ الکتروموتوروتابلوهای برق روشنایی,7,74
سیم پیچ الکتریسین,7,74
سیم پیچ برق معدن,7,74
سیم پیچ ترانسهای قدرت,7,74
سیم پیچ تعمیرکار الکترومکانیک,7,74
سیم پیچ تلفن ماشین دستگاه,7,74
سیم پیچ توزیع کارگرسیم پیچ فشارضعیف,7,74
سیم پیچ درجه 2,7,74
سیم پیچ درجه 3,7,74
سیم پیچ درجه 4,7,74
سیم پیچ درجه تعمیرکاردرجه الکترومکانیک مه,7,74
سیم پیچ درجه سالن,7,74
سیم پیچ درجه وو,7,74
سیم پیچ درجه یک تعمیرکار درجه یک الکترومکانیک,7,74
سیم پیچ ماشینهای الکتریکی,7,74
سیم پیچ مرتبه دو,7,74
سیم پیچ موتور دینام کولر,7,74
سیم پیچ وبرق کار,7,74
سیم پیچ وکارگرارشدمونتاژبوبین,7,74
سیم پیچی ایفون وتعمیرات,7,74
سیم پیچی ترانسفورماتور,7,74
سیم پیچی توزیع,7,74
سیم پیچی مونتاژتوزیع,7,74
سیم کش اتومبیل,7,74
سیم کش تابلو,7,74
سیم کش خط هوائی ضعیف وقوی و هزارتهران,7,74
سیم کش خطوط انتقال برق,7,74
سیم کش خطوط انتقال تلفن و تلگراف,7,74
سیم کش خودرو,7,74
سیم کش ساختمانی درجه موقت,7,74
سیم کش ماشین,7,74
سیم کش و باطری ساز,7,74
سیمان ساز,7,71
سیمان کار دیوار,7,71
سیمان کار چاه های نفت و گاز,7,71
سیمان کشی,7,71
سیمانکار,7,71
سیمانکاری ساخنمان,7,71
سیمانکاری موزاییک کاری,7,71
سیمبان,7,74
سیمبان احداث خطوط,7,74
سیمبان بادرجات مختلف,7,74
سیمبان توزیع,7,74
سیمبان خطوطراه دور,7,74
سیمبان روستایی,7,74
سیمبان نصب و اصلاح,7,74
سیمبان نصب و قطع ووصل,7,74
سیمبان ولت,7,74
سیمبان ولت وکارگرطرحهای روستائی,7,74
سیمبان وکمک سیمبان,7,74
سیمبان کارگرشبکه وخطوط,7,74
سیمولدکار,7,72
سیمکش برق وتولید,7,74
سیمکش هوائی,7,74
سینی ساز,7,72
سینی فلزی ساز,7,72
سینی کار جوشکار,7,72
شاب بلاست,7,72
شابرزن,7,72
شابرزن درجه 1,7,72
شابرزن درجه 2,7,72
شابرزن درجه 3,7,72
شابرزن درجه 4,7,72
شابرزن درجه 5,7,72
شابرزن درجه 6,7,72
شابرزن وسنگ زن,7,72
شابلاست,7,72
شابلاست وسندپلاست,7,72
شابلن ساز,7,72
شابلوساز ماهر,7,72
شابلون,7,72
شابلون بند,7,72
شابلون زن,7,72
شابلون زن تراش کار,7,72
شابلون زن درجه دو,7,72
شابلون زن درجه یک,7,72
شابلون زن لباس,7,75
شابلون زن و شیشه چین,7,73
شابلون زن کفش دستی,7,75
شابلون ساز پانچ وخمکاری,7,72
شابلون سازدرجه,7,72
شابلون سازوغلطک سازوعکاس و ج,7,73
شابلون سازونمونه گیروو,7,72
شابلون سازی وعکاسی ج,7,72
شابلون فلزی ساز,7,72
شابلون کار شیشه خورجلووعقب,7,73
شابلون کاردرجه دو,7,73
شابلون کاردرجه یک,7,73
شابلون کش چاپ,7,73
شابلونسازتکمیل کتن,7,73
شابلونسازی وو,7,73
شابلونچی,7,73
شاتر,7,71
شاتون تراش,7,72
شادبلاست,7,72
شارژکن گاز یخچال,7,74
شارژکننده باتری اتومبیل,7,74
شارژکننده کوره وتهیه کننده شمش مهندسی,7,72
شارژکننده کوره کویل والکتریکی,7,72
شاسی بنددرجه,7,72
شاسی ساز,7,72
شاسی ساز لیفتراک,7,72
شاسی سازدرجه دو,7,72
شاسی سازدرجه سه,7,72
شاسی سازدرجه یک,7,72
شاطون تراش,7,72
شال باف,7,75
شال باف دستی,7,75
شاموتکار,7,71
شانه زن الیاف نساجی دستی,7,75
شانه زن طراحی,7,75
شانه زن قالی دستی,7,75
شانه ساز,7,75
شانه ساز ماهر بافنده,7,75
شانه سازدرجه یک وطراح درجه یک ودو,7,75
شاهنک کار,7,75
شاهنگ,7,75
شاگرد استاد کار ساخت و نصب پنجره دوجداره,7,71
شاگرداهنگر,7,72
شاگردتعمیرات ماشین,7,72
شاگردجوشکار,7,72
شاگردخیاط,7,75
شاگرددیوارچینی,7,71
شاگردقصابی,7,75
شاگردقنادی,7,75
شاگردلحاف دوزی,7,75
شاگردمغازه باطری سازی ماشین,7,74
شاگردمغازه درب وپنجره سازی دوجداره,7,71
شاگردمغازه درب چوبی,7,75
شاگردمکانیک برق و باطری,7,74
شاگردنانوا,7,75
شاگردنجاری,7,75
شاگردچله بند,7,75
شاگردچله سوارکن,7,75
شاگردچله پیچ,7,75
شاگردچله گذار,7,75
شاگردی بنایی,7,71
شاگردی قالی بافی,7,73
شبرو چسبان و ماهوت چسبان,7,75
شبکه تعمیررادیاتور,7,72
شبکه جوش,7,72
شبکه دوزی,7,73
شبکه سازی دیپکار,7,72
شبکه مفتول کشی,7,72
شبکه کوره کار,7,72
شبکه گذار و ارماتوربندقالب,7,71
شبکه گذاروآرماتوربندقالب تولید,7,71
شربت ساز,7,75
شعرباف,7,75
شعرباف دستی,7,75
شعله جوشکار,7,72
شلوار دوزی,7,75
شلواردوز,7,75
شلوارزنی,7,75
شماره دوز,7,75
شمسه دوز,7,73
شمش ریز,7,72
شمش ریزوقالب گیر شمش ریزی,7,72
شمشریزوقالبگیر کورههایاندکسیون وقالبگیری,7,72
شمشه گر,7,71
شمع ساز,7,75
شمع ساز صنعت دستی,7,75
شمع ساز و طراح روی شمع,7,75
شمع کوب,7,71
شن پاش شیشه دستی,7,73
شناژکار ساختمان,7,71
شوایتر,7,75
شور و ترشی ساز دستی,7,75
شورت دوز دستی,7,75
شوره زن پوست دستی,7,75
شوفا ژکار ساختمان,7,71
شوفااژکار تعمیرات,7,71
شوفاژکار,7,71
شوفاژکاردرجه امورشهر,7,71
شوفاژکارولوله کش,7,71
شومینه ساز,7,71
شک بافی,7,73
شکسته گیرباندلعاب,7,73
شکلات ساز,7,75
شکلات پیچ با دست,7,75
شیارزدن لنت سخت وزیان آور,7,72
شیاریابرش وساب لنت دیسکی سخت وزیان آور,7,72
شیرازه بند صحافی,7,73
شیرازه دوز,7,73
شیردنگ بافی,7,73
شیره انگور ساز دستی,7,75
شیروانی ساز,7,71
شیروانی فلزی ساز,7,71
شیروانی کار,7,71
شیروانی کاردرجه,7,71
شیروانی کوب وکمک شیروانی کوب,7,71
شیرینی پز,7,75
شیرینی پزی در قنادی,7,75
شیشه آکواریوم ساز دستی,7,73
شیشه انداز,7,71
شیشه بر,7,71
شیشه بر تولید شیشه دستی,7,73
شیشه بر ماهر,7,71
شیشه بر و قفلساز,7,72
شیشه بران,7,71
شیشه برانبارمحصول,7,73
شیشه بردار,7,71
شیشه بردرجه,7,71
شیشه بردرجه دو,7,71
شیشه بردرجه یک,7,71
شیشه برمرتبه,7,71
شیشه بروحلبی ساز,7,72
شیشه بری وواشرکشی دوجداره,7,71
شیشه خانه بندی,7,71
شیشه درمه باف,7,73
شیشه زن,7,71
شیشه زن انبار محصول,7,71
شیشه لمینت,7,71
شیشه ناجور,7,73
شیشه نصب کن,7,71
شیشه هوشمند,7,71
شیشه پزی,7,73
شیشه گذاردرجه,7,71
شیشه گران و کارکنان مشاغل مرتبط دستی,7,73
شیشه گیر دو جداره,7,71
شیفت فورمن مدولهای احیاءمستقیم وبریکت سازی وحمل مواد,7,72
شیفت فورمن مرکز تعمیرات نسوز,7,72
شیفت فورمن ناظر شیفت نسوز و lts,7,72
شیفت فورمن نت مکانیک و برق عملیات حرارتی و تکمیل کاری,7,72
شیفت فورمن نورد سبک,7,72
شیفت فورمن نگهداری و تعمیرات,7,72
شیفت فورمن نیروگاه گازی,7,74
شیفت فورمن واحد اکسیژن,7,72
شیفت فورمن واحد نسوزکاری,7,72
شیفت فورمن واحد هوای فشرده تجزیه هوا تولید بخار و گاز طبیعی ال پی جی,7,72
شیفت فورمن پاتیل و تاندیش,7,72
شیفت فورمن کارگاه تکمیل,7,72
شیفت فورمن کارگاه غلطک,7,72
شیفت فورمن کوره قوس الکتریکی مدول یک و دو,7,72
شیفت فورمن کوره های قوس الکتریکی,7,72
شیفت فورمن کوره های پاتیلی و متالورژی ثانویه,7,72
شیفت فورمن گاززدائی,7,72
شیفت فورمن گندله سازی,7,72
صابون پز,7,75
صابون پز درجه 1,7,75
صابون پز درجه 2,7,75
صابون پز درجه 3,7,75
صابون پزارشد,7,75
صابونپزوو ر,7,75
صابکار,7,75
صاحب نانوایی,7,75
صاحب کوره ذغال,7,75
صاف نوار کاشی,7,71
صاف کار بدنه اتومبیل مکانیک,7,72
صاف کار ورق های فلزی وسایل نقلیه,7,72
صاف کار چینی دستی,7,73
صافکاارشدواحدساخت بدنه,7,72
صافکار,7,72
صافکار تعمیرگاه ماشین آلات بخش مهندسی,7,72
صافکار لوله تولید,7,72
صافکار مینی بوس,7,72
صافکار نورد,7,72
صافکار کانتینر,7,72
صافکاراتومبیل,7,72
صافکارارشد اطاقسازی,7,72
صافکارارشدواحدفوم,7,72
صافکاربدنه اتاق کامیون وکامیونت,7,72
صافکاردرجه,7,72
صافکاردرجه اطاقسازی,7,72
صافکاردرجه نیمه ساخته لباسشوئی,7,72
صافکاردرجه واحدساخت بدنه,7,72
صافکاردرجه واحدفوم,7,72
صافکاردرجه یک,7,72
صافکاردرجه یک اطاقسازی,7,72
صافکارشبکه,7,72
صافکارصنعتی,7,72
صافکارقطعات,7,72
صافکارقطعات بتن ریزی,7,71
صافکارلوله,7,72
صافکارنقاشی,7,72
صافکارنیمه ساخته یخچال,7,72
صافکاروآهنگر,7,72
صافکاروبتو نه کار,7,72
صافکاروبتونه کارقدیم,7,72
صافکاروبرشکار,7,72
صافکاروجوشکاردرجه سه,7,72
صافکاروحلبی ساز,7,72
صافکارورنگریزی,7,72
صافکاروسنگ زن,7,71
صافکارووارشد,7,72
صافکاروگلگیرساز,7,72
صافکارپی دی ای ووارشد,7,72
صافکارپی دی تی,7,72
صافکاری بدنه اتومبیل,7,72
صافکاری خودور,7,72
صافکاری دستی وپلماکس,7,72
صافکاری موزائیک,7,71
صافکاری و گلگیرسازی اتوبوس,7,72
صحاف,7,73
صحاف ارشددرجه,7,73
صحاف جعبه دوز,7,73
صحاف جعبه دوز تاکن جعبه چسبان,7,73
صحاف درجه 1,7,73
صحاف درجه 2,7,73
صحاف درجه 3,7,73
صحاف دستی,7,73
صحاف شاغل در چاپخانه,7,73
صحاف کتاب,7,73
صحافی,7,73
صحافی سنتی,7,73
صدف کاری,7,73
صفاف,7,71
صفاف انبار,7,71
صفاف کوره,7,71
صفافی خشت,7,71
صفافی درکوره آجر,7,71
صفحه بند,7,73
صفحه بند روزنامه و,7,73
صفحه بند صحافی,7,73
صفحه تراش,7,72
صفحه تراش درجه 3,7,72
صفحه تراش درجه دو کوکیل,7,72
صفحه تراش ودریل کارقالبسازی وماشین سازی,7,72
صفحه تراشکار تعمیرات,7,72
صفحه تراشکار دروازه ای درجه 1,7,72
صفحه تراشکار دروازه ای درجه 4,7,72
صفحه تراشکاردرجه تراشکاری,7,72
صفحه تراشکاردرجه دو,7,72
صفحه ترانددروازه ای,7,72
صفحه زن,7,73
صفحه زن وغلطک زن درجه 2,7,73
صفحه زن وغلطک زن درجه یک,7,73
صفحه سازی,7,73
صنایع دستی استخوان,7,73
صنایع دستی دریایی,7,73
صنایع دستی چوبی و حصیری,7,73
صنایع دستی کاغذی,7,73
صنایع چوب,7,75
صندل دوز,7,75
صندلی سازدرجه سه,7,75
صندلی سازدرجه یک,7,75
صندلی سازی درجه دو,7,75
صندلی فلزی ساز آهنگری,7,72
صندلیساز,7,75
صندوق سازنیمه سنگین,7,75
صندوق فلزی ساز,7,72
صندوقسازسنگین,7,75
صنعتگر,7,75
صنعتگر تاسیسات حرارتی و برودتی,7,72
صنعتگر مکانیک عمومی,7,72
صنعتگر هنر های دستی,7,73
صنعتگر پلمپ,7,72
صنعتگران و کارکنان حرفه های مرتبط طبقه بندی نشده در جای دیگر,7,75
صنعتگران و کارکنان مشاغل مربوط,7,75
صنعتی الکتریسین,7,74
صیر باف,7,75
صیقل کار,7,72
صیقل کار سنگ با ابزار یا نیروی دستی,7,71
صیقل کار فلزات,7,72
صیقل کار و آبکار الکتریکی درجه 4,7,72
صیقل کار چوب دستی,7,75
ضخیم دوز,7,75
ضریح سازی,7,73
طبقه بندسازدرجه دو,7,75
طبقه بندسازدرجه سه,7,75
طبقه بندسازدرجه یک,7,75
طراح بافندگی وکارگرمتراژبافندگی,7,75
طراح جواهرات,7,73
طراح جواهرات با cad,7,73
طراح جواهرات لوکس و سفارشی,7,73
طراح خز,7,75
طراح درجه مقدمات بافندگی,7,75
طراح درجه یک مقدمات بافندگی,7,75
طراح سالن قالی بافی,7,75
طراح سنتی,7,73
طراح شانه ساز گره زن,7,75
طراح شانه و چله,7,75
طراح شیشه,7,73
طراح فرش,7,75
طراح قالبهای صنعتی,7,72
طراح قالی,7,75
طراح قذب,7,75
طراح قسمت بافندگی دوخت,7,75
طراح لامل ریز,7,75
"طراح لامل ریز,شانه کش بافندگی حوله",7,75
طراح نقشه و شکل ظروف سفال سرامیک و چینی,7,73
طراح نماکاری ساختمان,7,71
طراح هارنش درجه 2 بافندگی,7,75
طراح هارنیش درجه 1 بافندگی,7,75
طراح و خیاط مقنعه و روسری,7,75
طراح و سازنده عروسک نمایشی,7,73
طراح و سازنده ماسک نمایشی و تزئینی فلزی,7,73
طراح و سازنده مانکن,7,75
طراح ومدلساز کفش,7,75
طراح وگره زن,7,73
طراح چاپخانه,7,73
طراح چرم,7,73
طراح چله,7,73
طراح چله درجه 1,7,73
طراح چله درجه 2,7,73
طراح چله درجه و,7,73
طراح کابینت,7,75
طراح کلاه,7,75
طراحی سوزن دوزی,7,73
طراحی و برش ونصب,7,73
طراحی و ساخت کابینت,7,75
طراحی و نصب تابلو,7,73
طراحی و نصب کابینت mdf,7,75
طراحی وبرش الگو,7,75
طراحی وتعمیر,7,73
طراحی ودوخت,7,75
طلازن,7,73
طلاساز,7,73
طلاکوب,7,73
طلق گذار شیشه سازی دستی,7,73
طلق گذاری,7,73
طناب باف,7,75
طناب بند,7,75
طناب تاب,7,75
طوقه زن,7,72
طوقه ساز,7,72
ظاهرکننده عکس در تاریک خانه,7,73
ظاهرکننده فیلم عکاسی,7,73
ظرفساز,7,73
ظروف آلومینیوم ساز,7,72
ظروف استیل ساز,7,72
ظروف تفلون ساز,7,72
ظروف سفالی ساز دستی,7,73
ظروف سنگی ساز با دست,7,73
ظروف شیشه ای ساز دستی,7,73
ظروف فلزی ساز,7,72
ظروف مسی ساز,7,72
ظروف چوبی ساز,7,75
ظریفکار,7,73
ظزیفکار,7,73
ظهورفیلم,7,73
عاج زن فلزات,7,73
عامل ارشدکوره لعاب,7,73
عایق بند,7,71
عایق بند دیگ های بخار,7,72
عایق بند ذوب,7,72
عایق بند لوازم برقی,7,74
عایق بند لوله,7,72
عایق بندتولید,7,72
عایق بنددرجه ذوب,7,72
عایق بندوجوشکاردرجه,7,72
عایق بندوپلیت بند,7,72
عایق حلبی ساز,7,72
عایق سازارشدلوله,7,72
عایق پیچ قدرت,7,74
عایق پیچ قدرت درجه و,7,74
عایق کار ارشد,7,72
عایق کار اکوستیک,7,71
عایق کار بام,7,71
عایق کار تجهیزات حرارتی تهویه و تبرید,7,72
عایق کار تجهیزات سرمایش و تهویه هوا,7,72
عایق کار حرارتی,7,72
عایق کار درجه 2 بخش پلی استر,7,72
عایق کار دیگ بخار و لوله,7,72
عایق کار صوتی,7,71
عایق کار فن کویل کارگر پشم شیشه,7,72
عایق کار و بتن کار نسوز,7,72
عایق کاردرتوزیع سالن,7,71
عایق کاردرجه,7,72
عایق کارلوله مخازن و تاء سیسات,7,72
عایق کارلوله های گاز,7,72
عایق کارهواسازوبرج کارگرپشم شیشه,7,72
عایق کاروحلبی ساز,7,72
عایق کاروورقکار,7,72
عایق کاروکانال ساز,7,72
عایق کارپکیچ وکندانسورهوایی کارگرپشم شیشه,7,72
عایق کاری و حفاظت از برق,7,74
عایقسازدولوله,7,72
عایقسازلوله,7,72
عایقهای رطوبتی,7,71
عایقکار,7,72
عایقکار ذوب,7,72
عایقکار سیستم های حرارتی و برودتی,7,72
عایقکار ماهر,7,72
عایقکار وپلیت بند کلاس 1,7,72
عایقکار وپلیت بند کلاس 2,7,72
عایقکار کارگاه فریزر,7,72
عایقکارتعمیرات توربین پمپ وکمپرسور,7,72
عایقکارصنعتی,7,72
عایقکارلوله ومخازن وتاسیسات,7,72
عایقکاروازبست کارصنعتی پالایشگاه,7,72
عایقکاروفیلترساز,7,72
عایقکارونجارمدل درجه 1,7,75
عایقکاروورقکار متخصص,7,72
عایقکاری توزیع ماشین کاردرجه,7,72
عایقکاری مسکاری وکشش سیم واهنگری,7,72
عایقکاری ومدلسازدرجه,7,75
عایقکاری ونجاری,7,75
عایقکاری ونجاری بسته بنددرجه,7,75
عایقکاری ونجاری توزیع,7,75
عبا باف,7,75
عباباف دستی,7,75
عبادوز,7,75
عدسی تراش درجه دو,7,73
عدسی تراش درجه سه,7,73
عدسی تراش درجه یک,7,73
عدسی ساز عینک دستی,7,73
عدسی و لنز ساز دستی,7,73
عدل دوز,7,75
عدل ساز,7,75
عدل ساز بخش اکریلیک,7,75
عرض دوزنوار قسمت تکمیل,7,75
عروسک بافی,7,75
عروسک بافی سنتی ماسوله,7,75
عروسک دوز,7,75
عروسک سازی,7,75
عریض باف,7,75
عقیق تراش,7,73
علامت زن,7,75
علامت گذار پارچه و البسه,7,75
علامتگذاروتعیین کننده خطمعدن,7,71
علامتگذاروشابلون ساز درجه 2 مهندسی,7,73
علامتگذاروشابلون سازدرجه مهندسی,7,73
عمل آورنده پوست,7,75
عمل آورنده چوب,7,75
عمل آورندگان چوب نجاران فرنگی ساز و کارکنان حرفه های مرتبط,7,75
عمل چوب,7,75
عملیات برقکار,7,74
عملیات ساختمانی فابریک ورافینری,7,71
عمیرکار تاسیسات و لوله کشی ریخته گری,7,72
عمیرکار جوشکار,7,72
عهده دار کار برقی برقکار,7,74
عکاس شابلونسازی,7,73
عکاس عکاسی هلیوگراور,7,73
عکاس غلطک,7,73
عکاس لیتوگراف,7,73
عکاس و کنتاک کار,7,73
عکاس وسیلندرساز,7,73
عکاس کنتاکت کاردرجه,7,73
عکسبردار و رتاتیو,7,73
عیب یابی ماشین آلات,7,72
عیب یابی کابل,7,74
عینک ساز,7,73
عینک ساز درجه دو,7,73
عینک ساز درجه یک,7,73
عینک سازدرجه,7,73
غربال دوزی تعمیرغربالهای انتقال اب وموادپنبه,7,75
غربالدوز,7,75
غلتک تراش,7,72
غلطک تراش cnc,7,72
غلطک تراش آچ زن,7,72
غلطک تعمیرات پولادسازی خوزستان,7,72
غلطک سازدرجه تعمیرگاه,7,72
غلطک سازرینگ,7,72
غلطک سازوسمباده زن,7,72
غلطک سازوسمباده ساز,7,72
غلطک سازی وشابلون سازی ج,7,72
غلطک کاردستی,7,72
غنچه زن صندل,7,75
غواص پل های آبی,7,71
غواص کشتی,7,72
فارسکار تعمیرات و تفکیک قوطی,7,72
فارسکارمتصدی ماشین جوش,7,72
فارسی کار چوب,7,75
فاسکاردستی,7,72
فالزکار,7,72
فالزکاربشکه,7,72
فالسکار,7,72
فالسکارقوطی سازی,7,72
فالسکاروبادیمیکرچی,7,72
فالسکاروفلانچ کارقوطی گرد,7,72
فالسکاروچهارگوش کن,7,72
فالکساردستی,7,72
فالی بافی,7,75
فایبر گلاس کار صنعتی,7,75
فایبرکار,7,75
فایبرکار ونقاش,7,75
فایبرگلاسکار,7,75
فتیله باف دستی,7,75
فتیله ساز الیاف نساجی دستی,7,75
فرآوری بسته بندی تولیدات زنبور,7,75
فرآوری کننده و بسته بند انواع غلات و خشکبار,7,75
فرآوری کننده پاک کردن و بسته بند انواع دانه های روغنی مغز تخمه ها و ذرت بود داده,7,75
فرآوری کننده پاک کردن و خشک کردن و بسته بند,7,75
فرارده های ازیست,7,75
فرت باف تن باف,7,75
فرجکاروپرسکار,7,72
فرز کارو ماشین کار,7,72
فرزدستی,7,72
فرزکار cnc,7,72
فرزکار ازمایشگاه مکانیک,7,72
فرزکار انیورسال,7,72
فرزکار درجه 5,7,72
فرزکار درجه 6,7,72
