title_norm,level_1,level_2
بسته بندارشد,9,93
بوبین بیار رینگ,9,93
کارگرآماده سازی مواد,9,93
حفار روباز,9,93
کارگر حمل کلاف,9,93
کمک انباردارانبارپروژه ها انبار,9,93
حمل کلاف و قرقره رینگ ریسندگی,9,93
کمک تولید,9,93
تمیزکاری ماهیچه,9,93
کارگر بسته بندی با دست کارتن سازی,9,93
کارگر توزیع و اتفاقات,9,93
کمک انباردارانباراقلام رفاهی انبار,9,93
حمل کننده ضایعات متراژ بافندگی,9,93
کارگرحمل ضایعات تولید,9,93
کارگر ساده معدن شن,9,93
کمک اره موتورچی,9,92
کمک رنگساز لابراتور تکمیل و رنگرزی,9,93
کمک راننده وسایل نقلیه سنگین,9,93
کشتار مرغ,9,92
کارآموزوابکومعدن,9,93
کمک مکانیک سالن استرچ,9,93
کارگرانباردارموادشیمیایی انبار,9,93
کارگرکیفیت وآزمایشگاه,9,93
کارگرکمک پرسکارپخت,9,93
کمک متصدی آسیای گچ وخاک,9,93
کارگرساده آبکاری,9,93
کارگر شربتخانه,9,94
کارگر ساده بسته بندی دارو,9,93
کارگرساده تکمیلی,9,93
جاشوی لنج,9,93
کارگرساده ابکاری,9,93
کارگر تولید تزیینات,9,93
کارگرخدماتی تولید,9,91
کارگرانبارمحصول بارگیری,9,93
کارگرتخلیه وبارگیری انبارقسمت توزین سدیم لوری,9,93
جاروکش رینگ ریسندگی,9,91
کارگرخدمات درپست کارگرخدمات ارشد,9,91
کارگرخدمات فنی مکانیک صنعتی,9,93
کمک سرویسکار,9,93
شست شوی ماشین,9,91
کارگرمقدمات عمل اوری,9,93
کمک سرویس کار,9,93
کارگرانبارمواد,9,93
کارگر ساختمان سازی,9,93
کارگرعقب ماشین فیک بزرگ,9,93
کارگر ساده معدن,9,93
کارگرتخلیه و بارگیری,9,93
کمک نقاش ساختمانی,9,93
کمک نقاش تکمیلی,9,93
کمکاتشبار,9,93
کارگرخدماتی بیمارستان,9,91
کارگر ساده نهال کار جنگل,9,92
کارگرامورمعدن,9,93
کارگررتخلیه واگن,9,93
رییس برنامه ریزی و سیستم ها,1,12
رئیس آزمایشگاه آکرودیته,1,13
رئیس گروه اموراتباع ومهاجرین خارجی,1,12
سرپرست ارزیابی تامین کنندگان و خدمات ذینفعان,1,12
مدیربازاریابی وفروش داخلی,1,12
مدیرعامل بانک ملت,1,11
مدیر امور فنی تولید,1,13
مدیر اجرای احکام,1,12
رئیس کارشناس اداره دریافت و پ,1,12
رئیس آب و برق و بخار شماره,1,13
سرپرست اموزشی,1,13
مدیر توزیع,1,12
مسئول کارگاه تعمیرات سنگین,1,13
رئیس تعمیرگاه برق,1,13
رئیس تولید اکستریور سایت خراسان,1,13
سرپرست رسانه ها و نمایشگاهها,1,12
سرپرست ساخت و تعمیرات اساسی,1,13
سرپرست سالن آهک,1,13
سرپرست شیفت تولید cck,1,13
رییس عملیات کالا و انبارها,1,12
رییس نوبتکاری انبارهای محصول,1,12
رئیس برنامه ریزی و کنترل کمی,1,12
رییس تعمیرگاه برق,1,13
رییس قسمت درجه 3 رئیس قسمت درجه 3 شیفت حفاظت,1,12
سرپرست تولید بخش جامدات,1,13
رئیس عملیات کالا و انبارها,1,12
رئیس امور گمرکی و بندری,1,12
رئیس انبارش مواد,1,12
رئیس باجه خاص همترازبانکدارارشد رتبه دو,1,12
رئیس برنامه ریزی و پشتیبانی نت,1,13
رییس دپارتمان دانشگاه,1,13
مدیرکل حراست,1,12
رئیس اداره خریدهای تولیدی,1,12
سرپرست تست و تعمیرات مونتاژگیربکس,1,13
سرپرست تعمیرات مکانیکی شیفت مکانیک,1,13
سرپرست خط سنگین,1,13
مدیر کل امور دولت,1,11
مدیر کل دفتر امور بیابان,1,11
رییس باند مونتاژو تست,1,13
رییس تامین مواد معدنی,1,13
اداره امور ناوگان اداره کل راه اهن شمالمسئول امور جرثقیلهای ریلی,1,13
اداره امور ناوگان اداره کل راه اهن قم مسئول دپو قم,1,13
اداره منابع انسانی و رفاه اداره کل راه اهن تهران مسئول بازنشستگان,1,12
فورمن نگهداری و تعمیرات تاسیسات برق و مکانیک,1,13
سرپرست کنترل موجودی وسفارشات,1,12
معاون اجرایی,1,12
معاون مدیر امور اداری و پشتیبانی,1,12
رئیس مهندسی متد و تکنولوژی تزریق,1,13
رئیس نظارت ساختمانی,1,13
رئیس کتابخانه دانشکده دامپزشکی,1,13
سرکارگر تعمیرات موضعی,1,13
مسئول واحد حمل محصولات,1,12
مسئول تعمیرات خودروها وبالابرها,1,13
مسئول خدمات فنی معدن,1,13
سرشیفت تولید متالایز bopet,1,13
سرپرست مهندسی محصول,1,13
مسئول پژوهش وآموزش,1,13
سرپرست آموزشی,1,13
رییس اداره خریدهای تولیدی,1,12
معاون معدن زیر زمینی,1,13
سرپرست منابع انسانی,1,12
مدیر کل برنامه ریزی نوسازی و تحول اداری,1,11
فرمن ارشد شربت سازی تهیه مایعات,1,13
رئیس اداره صندوق بیمه,1,12
سرپرست تخلیه موادشیمیائی,1,13
سرگروه تعمیرات مکانیکی,1,13
سرگروه لوله ریزی,1,13
سرپرست خط تولید واحد,1,13
سرپرست شیفت بسته بندی روغن,1,13
مدیر مکانیک و تاسیسات,1,13
مدیر پروژه فولاد سازی دو,1,13
مدیر کارگاه عملیات حرارتی,1,13
مدیر کنترل کیفیت صنعت,1,13
سرپرست تامین قطعات,1,12
سرپرست خرید خدمات بازرگانی ومشاوره,1,12
اداره امور ناوگان اداره کل راه اهن هرمزگان معاون اداره در امور وا,1,13
اداره سیر و حرکت اداره کل راه اهن هرمزگان معاون گار سیرجان,1,13
جانشین فرمانده شیفت,1,12
معاون مالی و اقتصادی منطقه یک,1,12
معاون حسابرسی مرکزی,1,12
معاون عملیات و رئیس مجتمع,1,13
رئیس اداره حسابداری انبارها,1,12
سرکارگرسختکاری وابکاری,1,13
سرپرست امورکارکنان,1,12
سرپرست کارگاه ماشین افزار,1,13
سرپرست کنترل مستندات و امور مالی,1,12
معاونت توسعه مدیریت و منابع معاون اداره امور اداری,1,12
گروه امور مسافری اداره کل راه اهن جنوب رئیس گروه امور مسافری,1,13
رئیس گروه برنامه ریزی طرح ها و کنترل پروژه,1,12
سرپرست آسیاب مواد و سنگ شکن,1,13
رییس اداره عیب یابی خطوط فشارقوی انتقال و فوق توزیع,1,13
سرپرست شیفت استیپل پلی استر,1,13
رئیس قراردادهای طرحهای توسعه,1,12
سرپرست کارگاه شیلنگ سازی,1,13
رییس نگهداری و تعمیرات ابزاردقیق,1,13
کارشناس مسئول اموراداری بازنشستگان,1,12
کارشناس مسئول امورمشتریان فناوریهای نوین,1,12
کارشناس مسئول امور سیر و حرکت,1,13
رئیس ارشد بازرگانی,1,12
رئیس خطوط قطعات,1,13
رئیس اداره طراحی محصول,1,13
سرپرست تعمیرات مواد خام,1,13
سرگروه قسمت خدمات تولیدی,1,13
مدیر پشتیبانی و امور شهری,1,12
رئیس اداره نصب تجهیزات پستهای فوق توزیع,1,13
رئیس اداره نگهداری و تعمیرات ابنیه,1,13
رئیس اداره هماهنگی کمیته های انضباط کار کارکنان,1,12
رییس برنامه ریزی تولید و تامین و کنترل موجودی,1,13
مدیر دفتر فنی و برنامه ریزی نگهداری وتعمیرات,1,13
رئیس کنترل کیفی محصول,1,13
رئیس برق و اتوماسیون,1,13
مدیر توسعه تعالی,1,12
معاون برنامه بودجه و تامین منابع,1,12
رئیس گروه برنامه ریزی امور آموزشی و پرورشی,1,13
سرگروه قالبسازی و تعمیرات قالب,1,13
معاونت مدیریت فروش,1,12
کمک سرپرست کوره های کوک پزی,1,13
کمک سرپرست قسمت برش وبسته بندی,1,13
رئیس اداره آموزش دانشکده دامپزشکی,1,13
سرشیفت ذوب القائی,1,13
سرپرست فنی و مهندسی,1,13
سرپرست قسمت بافندگی,1,13
سرپرست لوله کشی صنعتی,1,13
سرپرست سازماندهی و طبقه بندی مشاغل,1,12
رئیس اداره بازنشستگی و رفاه,1,12
رییس اداره امور آزمایشگاهها,1,13
سرپرست نوبتکاری عملیات کالا و انبارها,1,12
معاون اداره شیفت بهره برداری بخار,1,13
رئیس دبیرخانه گزینش,1,12
مسئول امور پشتیبانی و خدمات,1,12
رئیس گروه نظارت بهره برداری و راندمان,1,13
سرپرست ارزیابی عملکرد,1,12
رییس برنامه ریزی تعمیرات و معاون کارگاه,1,13
رئیس ارتباطات و رسانه ها,1,12
رئیس گروه مطالعات و برنامه ریزی حمل و نقل,1,13
سرپرست آزمایشگاه کنترل,1,13
سرپرست خدمات بیمه,1,12
مدیر سلامت ایمنی و محیط زیست hse,1,13
رئیس ساخت قالب وابزارتراشکاری,1,13
مسیول تدارکات و خرید,1,12
اداره امور ناوگان اداره کل راه اهن تهران معاون اداره در امور نیرو,1,13
رئیس اداره ساختمات وتاسیسات کارشناس,1,13
مدیر نگهداری و تعمیرات فولادسازی,1,13
مدیر کارخانه ذوب و نورد,1,13
فرماندار,1,11
معاون اداره خرید و قراردادها,1,12
مسیول برنامه ریزی و ارزیابی نیروی انسانی,1,12
رئیس دفتر فنی و برنامه ریزی تعمیرات,1,13
رئیس شعبه درجه همترازرئیس شعبه ارزی ریالی درجه2,1,12
رئیس ساخت ابزار و نمونه سازی,1,13
رئیس سازمان,1,11
رئیس شعبه ارزی ریالی ممتاز ب رتبه سه,1,12
رئیس عملیات آتش نشانی,1,13
سرپرست خدمات مهندسی ودفترفنی سایت,1,13
سرپرست دفتر فنی و طراحی عمقی,1,13
معاونت برنامه ریزی,1,12
مسئول قسمت حسابداری,1,12
رییس اداره خدمات فنی کشاورزی,1,13
رییس قسمت سنگ زنی,1,13
رییس اداره فروش خارجی,1,12
رئیس مرکز عملیات شبکه,1,13
رییس گروه مطالعات فناوری نو,1,13
مدیرمدرسه راهنمایی,1,13
رئیس برنامه ریزی و سیستم ها,1,12
معاون فنی عمرانی,1,13
مدیر امور تعمیرات پستهای انتقال,1,13
رئیس کنترل فرایند,1,13
رئیس بررسی منابع خرید,1,12
رئیس تولید لوله و سازه های پلی اتیلن,1,13
رئیس حسابداری فروش و خدمات پس از فروش,1,12
رئیس طراحی مفهومی بدنه,1,13
رئیس فن آوری های کاهش مصرف سوخت,1,13
مدیر ارزیابی عملکرد تعمیرات هواپیما,1,13
مدیر تحلیل مهندسی,1,13
رئیس گروه مطالعات و تحقیقات بهره برداری و سیر و حرکت,1,13
رییس برنامه ریزی و کنترل کمی,1,13
مسئول کارگاه سایت پروژه,1,13
مدیرامورصنایع کوچک,1,13
رئیس برنامه ریزی تولید و تامین و کنترل موجودی,1,13
مدیرکل دفتر بازرسی,1,12
مدیرکل دفترفن اوری اطلاعات ارتباطات وامنیت,1,13
معاون سرپرست یک شعب عالی,1,12
مسیول باشگاه ورزشی وتربیت بدنی,1,14
مدیر امور تامین و نگهداری کالا و تجهیزات,1,12
مدیر امور مهندسی و برنامه ریزی,1,13
مدیر امور تعمیرات مرکز,1,13
معاون مالی بیمارستان,1,12
رییس تولیدریسندگی یارن پلی استر,1,13
رییس تولید لوله و سازه های پلی اتیلن,1,13
رییس حسابداری فروش و خدمات پس از فروش,1,12
مدیرتولید و بهره برداری واحدذوب وریخته گری فولادسازی,1,13
رئیس مرکز اطلاع رسانی و روابط عمومی,1,12
سرپرست واحدبرق خط تولید,1,13
سرپرست کنترل وبسته بندی,1,13
مدیرمدرسه دوره اول متوسط,1,13
رئیس مونتاژوتست,1,13
رئیس کنترل و ابزار دقیق,1,13
مدیر اجرای طرح های عمرانی یا ساختمان سازی,1,13
معاون بهره برداری وناوگان اداره کل راه اهن تهران معاون مدیرکل به,1,13
معاون بازاریابی مدیرفروش,1,12
رئیس مدیر امور نظارت بر خدمات عمومی,1,12
سرپرست واحد آلدئید,1,13
سرپرست کنترل کیفی لیچینگ,1,13
مسئول بخش مونتاژ قطعه ریز اداره مونتاژ,1,13
مسئول برنامه ریزی نگهداری و تعمیرات pm,1,13
معاون و مسئول اموزش,1,12
رئیس قسمت تمرکز حسابها,1,12
رئیس مدیر پلی کلینیک,1,13
رئیس مرکز تحقیقات مدیریت اطلاعات سلامت,1,13
سرپرست نگهداری و تعمیرات اتوماسیون و ابزاردقیق احیا مستقیم,1,13
سرپرست نگهداری و تعمیرات نوارنقاله,1,13
سرپرست واحد مونتاژ,1,13
سرپرست پرداختکاری,1,13
سرپرست کنترل کیفیت مونتاژ نهایی,1,13
رییس اداره ارتباطات و علایم الکتریکی,1,13
مسئول امورمالی وذیحسابی,1,12
معاون منابع انسانی و پشتیبانی,1,12
مدیربررسی وتحقیق بازار,1,12
سرپرست مرکز,1,12
رئیس اداره کشت و بهره برداری,1,13
سرپرست خدمات رفاهی و اجتماعی,1,12
مسئول شیفت اسیاب,1,13
رئیس بازرسی کیفیت,1,13
متصدی شفیت تولید,1,13
رئیس تصفیه خانه آب,1,13
رییس حراست فیزیکی,1,12
مدیر ارشد مکانیک و تاسیسات,1,13
رئیس اداره مدیریت بحران و پدافند غیر عامل,1,12
رییس اداره نیازسنجی و ارزیابی دوره های آموزشی,1,12
مسئول شیفت افتر پرس,1,13
معاونت لجستیک و طرح و توسعه,1,12
سرپرست تولید رنگهای پلاستیک وتینر,1,13
سرپرست تولیدظروف وبسته بندی,1,13
سریست تولید مقدمات بافندگی,1,13
رییس اداره بازنشستگی و رفاه,1,12
مدیر کل نظام های پرداخت بانک مرکزی,1,12
معاون اموزش نیروی انسانی,1,12
مسئول تیم عملیاتی الکترونیک هوا پیمایی,1,13
رئیس برنامه ریزی وخدمات آموزشی مجتمع آموزش,1,12
معاون اداره خدمات فنی و کشاورزی استان,1,13
معاون اداره اداره گذرنامه وروادید,1,12
رئیس گروه امور فرهنگی وتربیتی,1,12
رئیس گروه برنامه ریزی و تحول اداری و تعالی,1,12
رئیس گروه حسابرسی مالیاتی رییس دبیرخانه,1,12
سرپرست مدیریت پژوهش و نوآوری,1,13
سرپرست مهندسی انرژی و سیالات,1,13
مسئول کارگاه تعمیرات ونوسازی,1,13
رئیس اداره برنامه ریزی تامین و توزیع قطعات صادراتی و خدمات پس از فروش,1,12
رئیس مهندسی شبکه و یکپارچه سازی سیستم ها خودروئی,1,13
رئیس هیات عالی نظارت,1,12
رئیس بررسی و نظارت بر اجرای طرح های محصول، بدنه و قوای محرکه,1,13
سرپرستانبارمواداولیه توزینماده اولیه هیو,1,13
سرپرست انبارآجر پاکت و سوخت,1,13
مدیر تحقیقات,1,13
معاون امور عمومی,1,12
رئیس اداره فناوری اطلاعات وارتباطات,1,13
رئیس اداره امور ازمایشگاهها,1,13
مسئول مجموعه سازی,1,13
معاونت بهبود تولیدات گیاهی,1,13
مسئول نظارت وخدمات عمومی,1,12
سرپرست کنترل تولید الکترود,1,13
مسئول اجراء,1,13
معاون مدیر مهندسی تولید,1,13
مدیر نگهداری و تعمیرات برق و اتوماسیون,1,13
کمک سرپرست تکمیلی,1,13
رئیس اجرای پروژه های ناحیه آهن سازی,1,13
رئیس اداره خزانه داری و مدیریت وجوه نقد,1,12
رئیس اداره فروش خارجی,1,12
سرپرست برنامه ریزی و کنترل پروژه های محصولی,1,13
سرپرست تبلیغات و رسانه,1,12
سرشیفت بافندگی کارگرنساجی,1,13
سرشیفت برق ونیروگاه,1,13
مسئول فرایند ها ی تولید,1,13
سرپرست طراحی مکانیک سیالات,1,13
مسئول امورحفاظت پرسنلی شرایط خاص ایثارگران,1,12
رئیس اداره فناوری اطلاعات و ارتباطات دیتا,1,13
رییس اداره تربیت بدنی و تفریحات سالم,1,13
کارشناس و رئیس دایره امور رایانه ای,1,13
معاون فنی و زیربنایی اداره کل راه اهن خراسانمعاون مدیرکل فنی و ز,1,13
مدیر ارشد خدمات فنی و پشتیبانی,1,13
رئیس اداره تعمیرات تجهیزات پنوماتیک,1,13
رئیس برق و تاسیسات,1,13
سرپست لوله کشی وتاسیسات,1,13
مدیر تدارکات هتل,1,14
مسئول نگهداری و تعمیرات جرثقیلها و بالابرهاو روغنکاری,1,13
همتراز رئیس اداره مرکزی,1,12
اداره سیر و حرکت اداره کل راه اهن تهران رئیس ایستگاه پرند,1,13
رئیس قسمت سنگ زنی,1,13
سرپرست واحد خدمات فنی,1,13
سرپرست وسرشیفت ریسندگی,1,13
سرپرست پشتیبانی کنترل خدمات,1,12
مدرسه شبانه روزی حصار,1,13
رییس اجرای پروژه های ناحیه آهن سازی,1,13
رییس اداره برنامه ریزی تامین و توزیع قطعات صادراتی و خدمات پس از فروش,1,12
اداره سیر و حرکت اداره کل راه اهن اراک رئیس ایستگاه حک,1,13
سرپرست کارگاه پرسکاری,1,13
سرپرست کنترل کیفیت انبارمحصول,1,13
فورمن برش کفی,1,13
رئیس اعتبارات اسنادی و وصول مطالبات,1,12
مدیرکنترل کیفی,1,13
سرکارگرانبارداری انبارشیمیایی,1,13
مدیر امور کنترل ابزار دقیق,1,13
مسئول اداره تعمیرات ماشین آلات,1,13
کارشناس مسئول انتصابات و نقل و انتقالات,1,12
سوپروایزر عملیات,1,13
معاون بازرسی و پاسخگویی به شکایات,1,12
رئیس آزمایشگاههای عمومی,1,13
رئیس گروه بهداشت و تغذیه,1,13
رییس برنامه ریزی و کنترل تولید cfl,1,13
سرپرست لوله کشی صنعتی بخاروتصفیه اب,1,13
سرپرست مهندسی اکولوژی و پشتیبانی پروژه ها,1,13
کارشناس مسئول امور قراردادها,1,12
کارشناس مسئول هماهنگی امور تولید و اشتغال,1,12
رئیس گروه سرمایه گذاری و تامین منابع,1,12
سرشیفت بهره برداری توزیع برق,1,13
سرپرست تامین قطعات مجموعه ای و پرسکاری,1,13
رئیس دفتر هیئت مدیره و مدیر عامل,1,12
رئیس دولت,1,11
رئیس شعبه ارزی ریالی ممتاز الف رتبه یک,1,12
سرپرست حسابداری فروش داخلی,1,12
سرپرست کارگاه نجای,1,13
سرپرست تعمیرات برنامه ریزی شده خطوط,1,13
مدیر نگهداری وتعمیرات,1,13
مدیر کل دفتر امور زنان و خانواده,1,12
فرمن سالن شربت سازی تهیه مایعات,1,13
کارشناس مسئول مرکز آموزش,1,12
سرپرست کنترل کیفی قطعات تولیدی,1,13
فورمن نصب تجهیزات,1,13
معاون مدیرکل عمیلیات,1,13
رییس گروه تحول ونوسازی مالی ومحاسباتی,1,12
رئیس اداره مدیریت برند و افکار سنجی,1,12
رئیس گروه کنترل و پردازش داده های کمی وکیفی,1,12
رییس تصفیه خانه آب,1,13
معاون اداره وصول و اجرا,1,12
سرپرست حراست پرسنلی و اسناد,1,12
سرپرست خارزنی,1,13
رئیس اداره حقوقی و امور قراردادها,1,12
رئیس مکانیک و تاسیسات,1,13
ذیحساب و مدیرکل امور مالی شورای حل اختلا,1,12
رئیس اداره ارتباطات و علائم الکتریکی,1,13
رییس اداره نصب تعمیرات اساسی و آزمایشات ترانسفورماتور پست های فشارقوی انتقال و فوق توزیع,1,13
سرپرست شیفت بیدسازی,1,13
مسئول ماشین سازی و جوشکاری,1,13
رئیس تولید چهارم,1,13
رئیس حراست فیزیکی,1,12
سرپرست سفارشات و کارشناسی کالا,1,12
سرپرست عایق پیچی,1,13
رئیس اقدام,1,12
سرپرست ارسال ویژه,1,12
سرپرست امور مالی و برنامه ریزی موسسه فرهنگی ورزشی آبفای استان تهران,1,12
رئیس پشتیبانی و خدمات عمومی,1,12
سرشیفت لعاب سازی,1,13
سرشیفت کارگاه جوشکاری,1,13
رئیس ارتباطات واموربین الملل,1,12
سرکارگراستخراج,1,13
سرکارگردولاتاب,1,13
سرکارگررنج خشک کن,1,13
مدیر ارشد انبار و پشتیبانی,1,12
رئیس اداره کنترل کیفیت تعمیرات اساسی,1,13
رئیس ازمایشگاه شهرستان خرم اباد,1,13
سرپرست آنالیز کیفی و کنترل کیفیت تعمیرات گیربکس,1,13
سرپرست تعمیرات برق اتوماسیون و ابزار دقیق خطوط نورد,1,13
رییس اداره تولید بدنه پراید,1,13
رییس اداره طبقه بندی مشاغل و جبران خدمات کارگزینی,1,12
رییس تعمیرات ریخته گری مداوم,1,13
مدیر فروش مویرگی,1,12
مسئول تولید خط فوم صندلی شیفت,1,13
مسئول خدمات وکارپردازی,1,12
رئیس اداره امور نقلیه و ماشین آلات کارشناس,1,12
رئیس گروه ارتباطات,1,12
رئیس گروه بررسیهای آماری و کنترل پروژه,1,12
مسئول پشتیبانی ماشین الات کارگاه,1,13
سرپرست بهره برداری شرق نیروگاه,1,13
سرپرست تعمیرات موتور v2500,1,13
معاون آب و خاک و امورفنی مهندسی,1,13
مسئول شیفت ساخت قالب قطعات پلاستیکی,1,13
سرشیفت مرکب سازیارنگساز,1,13
سرکارگرپنچرگیری,1,13
مدیر بازاریابی و توسعه کسب و کار,1,12
مسئول هماهنگ کننده کنترل کیفی و آزمایشگاه احیا,1,13
رئیس اداره نگهداری و تعمیرات فیکسچر یک,1,13
شورا روستا نوبند,1,11
مدیر تیم حسابداری صنعتی,1,12
عضو هئیت مدیره شرکت کاوه خودرو,1,11
عضو هیات علمی رئیس بخش,1,13
معاون بودجه,1,12
رئیس کنترل کیفیت ماشین کاری,1,13
رئیس گروه امور تقنینی,1,11
سرشفیت عملیات حرارتی,1,13
سرپرست مدیریت تدارکات و پشتیبانی,1,12
سرگروه کنترل کیفیت,1,13
مدیرامورپشتیبانی ورفاه,1,12
مسئول تیم امور ترمینال سرکشیک,1,14
رییس قسمت نگهبان ارشد بخش منابع انسانی,1,12
سرپرست تولید متالایز bopet,1,13
سرپرست نوبتکاری واحد لاستیک پلی بوتادین pbr,1,13
معاون مدیرکل دفتر برنامه ریزی,1,12
معاون نظارت وسنجش وارزشیابی,1,12
معاون اداره تعمیرات مکانیک توربوژنراتور,1,13
معاون مدیر صادرات,1,12
قائم مقام مدیر عامل در حوزه کیفیت و مهندسی,1,13
قائم مقام مدیرعامل,1,11
مدیرتولیدات,1,13
رئیس حوزه مالی و اداری,1,12
رئیس دایره فروش,1,12
رئیس تعمیرات ماشین آلات تولید,1,13
معاون مدیر اموال وبیمه,1,12
رئیس بخش تغذیه,1,13
رییس تولید پودر جوشکاری,1,13
رییس راهبری و تعمیرات جرثقیلها و ترانسفرکارها,1,13
معاون روابط کار,1,12
رئیس اداره تعمیرات تجهیزات آنالوگ,1,13
مدیر امور نگهداری و تعمیرات مکانیک سیستم های دوار,1,13
